Group	CG1	CG2	CG3	CG4	CG5	CG6	CG7
Cre_1	1	1	1	1	1	1	0
Cre_1	1	1	1	1	1	0	1
Cre_1	1	1	1	1	1	1	0
Cre_1	0	1	1	1	1	1	0
Cre_1	1	1	1	1	1	1	1
Cre_1	1	1	1	1	1	1	0
Cre_1	1	1	1	1	1	1	1
Cre_1	1	1	1	0	0	0	0
Cre_1	1	1	1	1	1	1	1
Cre_2	1	1	1	1	1	1	1
Cre_2	1	1	1	1	1	1	0
Cre_2	1	1	1	1	1	1	0
Cre_2	1	1	1	1	1	1	1
Cre_2	1	1	1	1	1	1	1
Cre_2	1	1	1	1	1	1	0
Cre_2	1	1	1	1	1	1	1
Cre_2	1	1	1	1	1	1	1
Cre_2	1	1	1	1	1	1	1
Cre_2	1	1	1	1	1	1	0
Con_1	1	1	1	1	1	1	1
Con_1	1	1	1	1	1	1	1
Con_1	1	1	1	1	1	1	0
Con_1	1	1	1	1	1	1	0
Con_1	1	1	1	1	1	1	1
Con_1	1	1	1	1	1	1	1
Con_1	1	1	1	1	1	1	1
Con_1	1	1	1	1	1	1	0
Con_1	1	1	1	0	1	1	1
Con_2	1	1	1	1	1	1	0
Con_2	1	1	1	1	1	1	0
Con_2	1	1	1	1	1	1	1
Con_2	1	1	1	1	1	1	1
Con_2	1	1	1	1	1	1	1
Con_2	1	1	1	1	1	1	1
Con_2	1	0	1	1	1	1	1
Con_2	1	1	1	1	1	1	1
Con_2	1	1	1	1	1	1	1
Con_2	1	1	1	1	1	1	0
